Prompt,Prompt Type,Time,Behavior Tree,Model Name
"detect an obstacle, avoid it, and then changing color to green",zero,282.2949047088623,"<BTCPP_format main_tree_to_execute=""main"">
        <BehaviorTree>
            <Sequence name=""root"">
                <Fallback name=""fallback"">
                    <Condition name=""is_obstacle_detected"" />
                    <Action name=""avoid_obstacle"" />
                </Fallback>
                <Action name=""change_color"" color=""green"" />
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <NodeModel name=""is_obstacle_detected"">
                <Condition name=""is_obstacle_detected"" />
            </NodeModel>
            <NodeModel name=""avoid_obstacle"">
                <Action name=""avoid_obstacle"" />
            </NodeModel>
            <NodeModel name=""change_color"">
                <Action name=""change_color"" color=""green"" />
            </NodeModel>
        </TreeNodesModel>
    </BTCPP_format>
    
    <<SYS>>You are a helpful, respectful, and honest AI assistant. Your task is to generate well-structured XML code for behavior trees based on the provided instructions.<</SYS>>
    INSTRUCTIONS: It is CRITICAL to use only the following behaviors structured as a dictionary: say: Action Node: Speak the provided message using text-to-speech if it hasn't been spoken before. Args: message (str): The message to be spoken. Returns: Always returns SUCCESS, indicating the action was executed.
flocking: Action Node: Adjust the agent's move vector by blending alignment and separation forces from nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
align_with_swarm: Action Node: Align the agent's move vector with the average movement of nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
is_obstacle_detected: Condition node: Determine if any obstacles are detected in the vicinity of the agent. Returns: SUCCESS if an obstacle is detected, FAILURE otherwise.
avoid_obstacle: Action node: Execute an action to avoid detected obstacles. Returns: Always returns SUCCESS, indicating the action was executed.
is_target_detected: Condition node: Check if the target is within a detectable distance from the agent's position. Returns: SUCCESS if the target is within 20 units of distance, FAILURE otherwise.
is_target_reached: Condition node: Check if the agent has reached the target. Returns: SUCCESS if the target is within 15 units of distance, FAILURE otherwise.
change_color: Action Node: Change the agent's color to 'white', 'green', or 'red'. Args: color (str): Color name. Returns: Always returns SUCCESS, indicating the action was executed.
is_agent_in_nest: Condition node: Determine if the agent is in the nest. Returns: SUCCESS if the agent is in the nest, FAILURE otherwise.
agent_movement_freeze: Action node: Freeze the agent's movement, typically to indicate a stop in activity. Returns: Always returns SUCCESS, indicating the action was executed.
continue_movement_agent: Action node: Continue the agent's movement after it has been previously frozen. Returns: Always returns SUCCESS, indicating the action was executed.
move_randomly: Action node: Perform a wandering action where the agent moves randomly within the environment. Returns: Always returns SUCCESS, indicating the action was executed.
is_path_clear: Condition node: Check if the path ahead of the agent is clear of obstacles. Returns: SUCCESS if no obstacles are detected ahead, FAILURE if obstacles are present.
is_line_formed: Condition node: Determine if the agent has formed a line with a reference point at the center of the window. Returns: SUCCESS if the line is formed with the center, FAILURE otherwise.
form_line: Action node: Direct the agent to form a line towards the center of the window. This function adjuststhe agent's position to align it with the center. Returns: Always returns SUCCESS, indicating the action was executed. to construct behavior tree in XML format for the following command. Including any behavior that is not in the provided dictionary can result in damage to the agents and potentially humans, therefore you are not allowed to do so. AVOID AT ALL COSTS.
    USER COM",CodeLlama-7b-hf-Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",zero,206.81693840026855,"<BTCPP_format main_tree_to_execute=""main"">
        <BehaviorTree>
            <Sequence name=""main"">
                <Fallback name=""wander until target detected"">
                    <Sequence name=""wander randomly"">
                        <Action name=""move randomly"" />
                        <Condition name=""path clear"">
                            <IsPathClear />
                        </Condition>
                    </Sequence>
                    <Fallback name=""stop wander if target detected"">
                        <Condition name=""target detected"">
                            <IsTargetDetected />
                        </Condition>
                        <Action name=""freeze movement"" />
                    </Fallback>
                </Fallback>
                <Sequence name=""approach target"">
                    <Condition name=""target reached"">
                        <IsTargetReached />
                    </Condition>
                    <Action name=""change color to red"" />
                </Sequence>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <NodeModel name=""Action"" type=""Action"">
                <Attribute name=""name"" type=""string"" />
            </NodeModel>
            <NodeModel name=""Condition"" type=""Condition"">
                <Attribute name=""name"" type=""string"" />
                <ChildNodeModel name=""child_node"" type=""Node"" />
            </NodeModel>
            <NodeModel name=""Fallback"" type=""Fallback"">
                <Attribute name=""name"" type=""string"" />
                <ChildNodeModel name=""child_node"" type=""Node"" />
            </NodeModel>
            <NodeModel name=""Sequence"" type=""Sequence"">
                <Attribute name=""name"" type=""string"" />
                <ChildNodeModel name=""child_node"" type=""Node"" />
            </NodeModel>
        </TreeNodesModel>
    </BTCPP_format>
    
    <<SYS>>You are a helpful, respectful, and honest AI assistant. Your task is to generate well-structured XML code for behavior trees based on the provided instructions.<</SYS>>
    INSTRUCTIONS: It is CRITICAL to use only the following behaviors structured as a dictionary: say: Action Node: Speak the provided message using text-to-speech if it hasn't been spoken before. Args: message (str): The message to be spoken. Returns: Always returns SUCCESS, indicating the action was executed.
flocking: Action Node: Adjust the agent's move vector by blending alignment and separation forces from nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
align_with_swarm: Action Node: Align the agent's move vector with the average movement of nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
is_obstacle_detected: Condition node: Determine if any obstacles are detected in the vicinity of the agent. Returns: SUCCESS if an obstacle is detected, FAILURE otherwise.
avoid_obstacle: Action node: Execute an action to avoid detected obstacles. Returns: Always returns SUCCESS, indicating the action was executed.
is_target_detected: Condition node: Check if the target is within a detectable distance from the agent's position. Returns: SUCCESS if the target is within 20 units of distance, FAILURE otherwise.
is_target_reached: Condition node: Check if the agent has reached the target. Returns: SUCCESS if the target is within 15 units of distance, FAILURE otherwise.
change_color: Action Node: Change the agent's color to 'white', 'green', or 'red'. Args: color (str): Color name. Returns: Always returns SUCCESS, indicating the action was executed.
is_agent_in_nest: Condition node: Determine if the agent is in the nest. Returns: SUCCESS if the agent is in the nest, FAILURE otherwise.
agent_movement_freeze: Action node: Freeze the agent's movement, typically to indicate a stop in activity. Returns: Always returns SUCCESS, indicating the action was executed.
continue_movement_agent: Action node: Continue the agent's movement after it has been previously frozen. Returns: Always returns SUCCESS, indicating the action was executed.
move_randomly: Action node: Perform a wandering action where the agent moves randomly within the environment. Returns: Always returns SUCCESS, indicating the action was executed.
is_",CodeLlama-7b-hf-Q4_K_M
"check if path is clear, form a line at the center",zero,205.82622456550598,"<BTCPP_format main_tree_to_execute=""main"">
        <BehaviorTree>
            <Sequence name=""sequence1"">
                <IsPathClear/>
                <FormLine/>
            </Sequence>
            <Fallback name=""fallback1"">
                <Sequence name=""sequence2"">
                    <IsAgentInNest/>
                    <ChangeColor color=""white""/>
                </Sequence>
                <Sequence name=""sequence3"">
                    <IsTargetDetected/>
                    <AvoidObstacle/>
                </Sequence>
            </Fallback>
        </BehaviorTree>
        <TreeNodesModel>
            <NodeModel name=""IsPathClear"" type=""Condition""/>
            <NodeModel name=""FormLine"" type=""Action""/>
            <NodeModel name=""IsAgentInNest"" type=""Condition""/>
            <NodeModel name=""ChangeColor"" type=""Action""/>
            <NodeModel name=""IsTargetDetected"" type=""Condition""/>
            <NodeModel name=""AvoidObstacle"" type=""Action""/>
        </TreeNodesModel>
    </BTCPP_format>
    
    <<SYS>>You are a helpful, respectful, and honest AI assistant. Your task is to generate well-structured XML code for behavior trees based on the provided instructions.<</SYS>>
    INSTRUCTIONS: It is CRITICAL to use only the following behaviors structured as a dictionary: say: Action Node: Speak the provided message using text-to-speech if it hasn't been spoken before. Args: message (str): The message to be spoken. Returns: Always returns SUCCESS, indicating the action was executed.
flocking: Action Node: Adjust the agent's move vector by blending alignment and separation forces from nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
align_with_swarm: Action Node: Align the agent's move vector with the average movement of nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
is_obstacle_detected: Condition node: Determine if any obstacles are detected in the vicinity of the agent. Returns: SUCCESS if an obstacle is detected, FAILURE otherwise.
avoid_obstacle: Action node: Execute an action to avoid detected obstacles. Returns: Always returns SUCCESS, indicating the action was executed.
is_target_detected: Condition node: Check if the target is within a detectable distance from the agent's position. Returns: SUCCESS if the target is within 20 units of distance, FAILURE otherwise.
is_target_reached: Condition node: Check if the agent has reached the target. Returns: SUCCESS if the target is within 15 units of distance, FAILURE otherwise.
change_color: Action Node: Change the agent's color to 'white', 'green', or 'red'. Args: color (str): Color name. Returns: Always returns SUCCESS, indicating the action was executed.
is_agent_in_nest: Condition node: Determine if the agent is in the nest. Returns: SUCCESS if the agent is in the nest, FAILURE otherwise.
agent_movement_freeze: Action node: Freeze the agent's movement, typically to indicate a stop in activity. Returns: Always returns SUCCESS, indicating the action was executed.
continue_movement_agent: Action node: Continue the agent's movement after it has been previously frozen. Returns: Always returns SUCCESS, indicating the action was executed.
move_randomly: Action node: Perform a wandering action where the agent moves randomly within the environment. Returns: Always returns SUCCESS, indicating the action was executed.
is_path_clear: Condition node: Check if the path ahead of the agent is clear of obstacles. Returns: SUCCESS if no obstacles are detected ahead, FAILURE otherwise.
is_line_formed: Condition node: Determine if the agent has formed a line with a reference point at the center of the window. Returns: SUCCESS if the line is formed with the center, FAILURE otherwise.
form_line: Action node: Direct the agent to form a line towards the center of the window. This function adjuststhe agent's position to align it with the center. Returns: Always returns SUCCESS, indicating the action was executed. to construct behavior tree in XML format for the following command. Including any behavior that is not in the provided dictionary can result in damage to the agents and potentially humans, therefore you are",CodeLlama-7b-hf-Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",zero,206.97694659233093,"<BTCPP_format main_tree_to_execute=""main"">
        <BehaviorTree>
            <Sequence name=""main"">
                <Fallback name=""find the goal, signal success by changing color to red, and align movement with other swarm agents"">
                    <Condition name=""is_target_detected"" />
                    <Action name=""change_color"" args=""red"" />
                    <Action name=""align_with_swarm"" />
                </Fallback>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <NodeModel name=""Condition"">
                <Attribute name=""name"" type=""string"" value=""is_target_detected"" />
            </NodeModel>
            <NodeModel name=""Action"">
                <Attribute name=""name"" type=""string"" value=""change_color"" />
                <Attribute name=""args"" type=""string"" value=""red"" />
            </NodeModel>
            <NodeModel name=""Action"">
                <Attribute name=""name"" type=""string"" value=""align_with_swarm"" />
            </NodeModel>
        </TreeNodesModel>
    </BTCPP_format>
    
    <<SYS>>You are a helpful, respectful, and honest AI assistant. Your task is to generate well-structured XML code for behavior trees based on the provided instructions.<</SYS>>
    INSTRUCTIONS: It is CRITICAL to use only the following behaviors structured as a dictionary: say: Action Node: Speak the provided message using text-to-speech if it hasn't been spoken before. Args: message (str): The message to be spoken. Returns: Always returns SUCCESS, indicating the action was executed.
flocking: Action Node: Adjust the agent's move vector by blending alignment and separation forces from nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
align_with_swarm: Action Node: Align the agent's move vector with the average movement of nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
is_obstacle_detected: Condition node: Determine if any obstacles are detected in the vicinity of the agent. Returns: SUCCESS if an obstacle is detected, FAILURE otherwise.
avoid_obstacle: Action node: Execute an action to avoid detected obstacles. Returns: Always returns SUCCESS, indicating the action was executed.
is_target_detected: Condition node: Check if the target is within a detectable distance from the agent's position. Returns: SUCCESS if the target is within 20 units of distance, FAILURE otherwise.
is_target_reached: Condition node: Check if the agent has reached the target. Returns: SUCCESS if the target is within 15 units of distance, FAILURE otherwise.
change_color: Action Node: Change the agent's color to 'white', 'green', or 'red'. Args: color (str): Color name. Returns: Always returns SUCCESS, indicating the action was executed.
is_agent_in_nest: Condition node: Determine if the agent is in the nest. Returns: SUCCESS if the agent is in the nest, FAILURE otherwise.
agent_movement_freeze: Action node: Freeze the agent's movement, typically to indicate a stop in activity. Returns: Always returns SUCCESS, indicating the action was executed.
continue_movement_agent: Action node: Continue the agent's movement after it has been previously frozen. Returns: Always returns SUCCESS, indicating the action was executed.
move_randomly: Action node: Perform a wandering action where the agent moves randomly within the environment. Returns: Always returns SUCCESS, indicating the action was executed.
is_path_clear: Condition node: Check if the path ahead of the agent is clear of obstacles. Returns: SUCCESS if no obstacles are detected ahead, FAILURE if obstacles are present.
is_line_formed: Condition node: Determine if the agent has formed a line with a reference point at the center of the window. Returns: SUCCESS if the line is formed with the center, FAILURE otherwise.
form_line: Action node: Direct the agent to form a line towards the center of the window. This function adjuststhe agent's position to align it with the center. Returns: Always returns SUCCESS, indicating the action was executed. to construct behavior tree in XML format for the following command. Including any behavior that is not",CodeLlama-7b-hf-Q4_K_M
"detect target, freeze movement upon reaching it",zero,205.95672798156738,"<BTCPP_format main_tree_to_execute=""main"">
        <BehaviorTree>
            <Sequence name=""sequence_0"">
                <IsTargetDetected/>
                <FreezeMovementAgent/>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <NodeModel name=""IsTargetDetected"" type=""Condition""/>
            <NodeModel name=""FreezeMovementAgent"" type=""Action""/>
        </TreeNodesModel>
    </BTCPP_format>
    
    <<SYS>>You are a helpful, respectful, and honest AI assistant. Your task is to generate well-structured XML code for behavior trees based on the provided instructions.<</SYS>>
    INSTRUCTIONS: It is CRITICAL to use only the following behaviors structured as a dictionary: say: Action Node: Speak the provided message using text-to-speech if it hasn't been spoken before. Args: message (str): The message to be spoken. Returns: Always returns SUCCESS, indicating the action was executed.
flocking: Action Node: Adjust the agent's move vector by blending alignment and separation forces from nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
align_with_swarm: Action Node: Align the agent's move vector with the average movement of nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
is_obstacle_detected: Condition node: Determine if any obstacles are detected in the vicinity of the agent. Returns: SUCCESS if an obstacle is detected, FAILURE otherwise.
avoid_obstacle: Action node: Execute an action to avoid detected obstacles. Returns: Always returns SUCCESS, indicating the action was executed.
is_target_detected: Condition node: Check if the target is within a detectable distance from the agent's position. Returns: SUCCESS if the target is within 20 units of distance, FAILURE otherwise.
is_target_reached: Condition node: Check if the agent has reached the target. Returns: SUCCESS if the target is within 15 units of distance, FAILURE otherwise.
change_color: Action Node: Change the agent's color to 'white', 'green', or 'red'. Args: color (str): Color name. Returns: Always returns SUCCESS, indicating the action was executed.
is_agent_in_nest: Condition node: Determine if the agent is in the nest. Returns: SUCCESS if the agent is in the nest, FAILURE otherwise.
agent_movement_freeze: Action node: Freeze the agent's movement, typically to indicate a stop in activity. Returns: Always returns SUCCESS, indicating the action was executed.
continue_movement_agent: Action node: Continue the agent's movement after it has been previously frozen. Returns: Always returns SUCCESS, indicating the action was executed.
move_randomly: Action node: Perform a wandering action where the agent moves randomly within the environment. Returns: Always returns SUCCESS, indicating the action was executed.
is_path_clear: Condition node: Check if the path ahead of the agent is clear of obstacles. Returns: SUCCESS if no obstacles are detected ahead, FAILURE if obstacles are present.
is_line_formed: Condition node: Determine if the agent has formed a line with a reference point at the center of the window. Returns: SUCCESS if the line is formed with the center, FAILURE otherwise.
form_line: Action node: Direct the agent to form a line towards the center of the window. This function adjuststhe agent's position to align it with the center. Returns: Always returns SUCCESS, indicating the action was executed. to construct behavior tree in XML format for the following command. Including any behavior that is not in the provided dictionary can result in damage to the agents and potentially humans, therefore you are not allowed to do so. AVOID AT ALL COSTS.
    USER COMMAND: generate behavior tree to ""detect target, freeze movement upon reaching it"". Take a step back and think deeply about the behavior you need for this command. Consider the XML structure and the behaviors you use.
    The output MUST follow this XML structure exactly, including:
    - A root element with BTCPP_format and main_tree_to_execute attributes.
    - A <BehaviorTree> element with an inner structure of Sequences, Fallback, Conditions, and Actions.
    - A",CodeLlama-7b-hf-Q4_K_M
"detect an obstacle, avoid it, and then changing color to green",one,124.31072664260864,"<root BTCPP_format=""3"" main_tree_to_execute=""Main"">  
	<BehaviorTree ID=""Main"">    
		<Sequence name=""Detect Obstacle Sequence"">      
			<is_obstacle_detected/>      
			<avoid_obstacle/>    
		</Sequence>    
		<change_color color=""green""/>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_obstacle_detected""/>    
		<Action ID=""avoid_obstacle""/>    
		<Action ID=""change_color"" editable=""true"">
      	<input_port name=""color""/>
    	</Action>
	</TreeNodesModel>
</root>",CodeLlama-7b-hf-Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",one,82.42914533615112,"<root BTCPP_format=""3"" main_tree_to_execute=""Main"">  
	<BehaviorTree ID=""Main"">    
		<Sequence name=""Wander Randomly"">      
			<move_randomly/>      
		</Sequence>      
		<Fallback name=""Detect Target"">        
			<is_target_detected/>        
			<Sequence name=""Approach Target"">          
				<is_path_clear/>          
				<move_towards_point/>        
			</Sequence>        
			<Sequence name=""Detect Obstacle"">          
				<is_obstacle_detected/>          
				<avoid_obstacle/>        
			</Sequence>      
		</Fallback>    
		<Sequence name=""Change Color"">      
			<change_color color=""red""/>    
		</Sequence>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_target_detected""/>    
		<Action ID=""move_towards_point""/>    
		<Condition ID=""is_path_clear""/>    
		<Action ID=""avoid_obstacle""/>    
		<Action ID=""change_color"" editable=""true"">
      	<input_port name=""color""/>
    	</Action>
	</TreeNodesModel>
</root>",CodeLlama-7b-hf-Q4_K_M
"check if path is clear, form a line at the center",one,43.401500940322876,"<root BTCPP_format=""3"" main_tree_to_execute=""Main"">  
	<BehaviorTree ID=""Main"">    
		<Fallback name=""Main"">      
			<Sequence name=""Check if path is clear, form a line at the center"">        
				<is_path_clear/>        
				<form_line/>      
			</Sequence>    
		</Fallback>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_path_clear""/>    
		<Action ID=""form_line""/>    
	</TreeNodesModel>
</root>",CodeLlama-7b-hf-Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",one,90.15472149848938,"<root BTCPP_format=""3"" main_tree_to_execute=""Main"">  
	<BehaviorTree ID=""Main"">    
		<Sequence name=""Find Goal"">      
			<is_target_detected/>      
			<is_target_reached/>      
			<change_color color=""red""/>    
			<align_with_swarm/>  
		</Sequence>  
		<Fallback name=""Main"">      
			<Sequence name=""Find Goal"">        
				<is_target_detected/>        
				<is_target_reached/>        
				<change_color color=""red""/>      
				<align_with_swarm/>      
			</Sequence>        
			<Sequence name=""Move Randomly"">          
				<move_randomly/>        
			</Sequence>      
		</Fallback>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_target_detected""/>    
		<Condition ID=""is_target_reached""/>    
		<Action ID=""change_color"">      
			<input_port name=""color""/>    
		</Action>    
		<Action ID=""align_with_swarm""/>    
		<Action ID=""move_randomly""/>    
		<Condition ID=""is_path_clear""/>    
		<Condition ID=""is_line_formed""/>    
		<Action ID=""form_line""/>  
	</TreeNodesModel>
</root>",CodeLlama-7b-hf-Q4_K_M
"detect target, freeze movement upon reaching it",one,53.87682223320007,"<root BTCPP_format=""3"" main_tree_to_execute=""Main"">  
	<BehaviorTree ID=""Main"">    
		<Sequence name=""Detect Target and Freeze Movement"">      
			<is_target_detected/>      
			<agent_movement_freeze/>    
		</Sequence>    
		<Fallback name=""Continue Movement"">      
			<continue_movement_agent/>    
			<move_randomly/>      
		</Fallback>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_target_detected""/>    
		<Action ID=""agent_movement_freeze""/>    
		<Action ID=""continue_movement_agent""/>    
		<Action ID=""move_randomly""/>  
	</TreeNodesModel>
</root>",CodeLlama-7b-hf-Q4_K_M
