Prompt,Prompt Type,Time,Behavior Tree,Model Name
"detect an obstacle, avoid it, and then changing color to green",zero,121.99620747566223,"<|assistant|>
    ```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <Sequence name=""main"">
            <Condition name=""detect_obstacle"">
                <is_obstacle_detected />
            </Condition>
            <Fallback name=""avoid_and_change_color"">
                <Action name=""avoid_obstacle"">
                    <avoid_obstacle />
                </Action>
                <Action name=""change_color"">
                    <change_color color=""green"" />
                </Action>
            </Fallback>
        </Sequence>
    </BehaviorTree>
    <TreeNodesModel>
        <Condition name=""detect_obstacle"">
            <is_obstacle_detected />
        </Condition>
        <Action name=""avoid_obstacle"">
            <avoid_obstacle />
        </Action>
        <Action name=""change_color"">
            <change_color color=""green"" />
        </Action>
    </TreeNodesModel>
    ```",Falcon3-10B-Instruct-q4_k_m
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",zero,69.83067917823792,"<|assistant|>
    ```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <TreeNodesModel>
            <NodeModel name=""WanderUntilTargetDetected"" type=""Sequence"">
                <ActionNode name=""MoveRandomly"" />
                <ConditionNode name=""IsTargetDetected"" />
            </NodeModel>
            <NodeModel name=""ApproachTarget"" type=""Sequence"">
                <ActionNode name=""AlignWithSwarm"" />
                <ConditionNode name=""IsTargetReached"" />
            </NodeModel>
            <NodeModel name=""SignalAchievement"" type=""Action"">
                <ActionNode name=""ChangeColor"" args=""red"" />
            </NodeModel>
        </TreeNodesModel>
        <Sequence name=""main"">
            <NodeRef name=""WanderUntilTargetDetected"" />
            <NodeRef name=""ApproachTarget"" />
            <NodeRef name=""SignalAchievement"" />
        </Sequence>
    </BehaviorTree>
    ```",Falcon3-10B-Instruct-q4_k_m
"check if path is clear, form a line at the center",zero,70.6328957080841,"<|assistant|>
    ```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <Sequence name=""main"">
            <Condition name=""is_path_clear"">
                <Args>
                    <Arg type=""bool"" value=""true""/>
                </Args>
            </Condition>
            <Fallback name=""form_line"">
                <Action name=""form_line"">
                    <Args>
                        <Arg type=""bool"" value=""true""/>
                    </Args>
                </Action>
            </Fallback>
        </Sequence>
        <TreeNodesModel>
            <TreeNodeModel name=""is_path_clear"" type=""Condition"">
                <Args>
                    <Arg type=""bool"" value=""true""/>
                </Args>
            </TreeNodeModel>
            <TreeNodeModel name=""form_line"" type=""Action"">
                <Args>
                    <Arg type=""bool"" value=""true""/>
                </Args>
            </TreeNodeModel>
        </TreeNodesModel>
    </BehaviorTree>
    ```",Falcon3-10B-Instruct-q4_k_m
"find the goal, signal success by changing color to red, and align movement with other swarm agents",zero,85.7618260383606,"<|assistant|>
    ```xml
    <BTCPP_format version=""1.0"">
        <main_tree_to_execute>find_goal_and_align</main_tree_to_execute>
        <BehaviorTree>
            <Sequence>
                <Condition name=""is_target_detected"">
                    <Args>
                        <target_position>...</target_position>
                    </Args>
                </Condition>
                <Action name=""change_color"">
                    <Args>
                        <color>red</color>
                    </Args>
                </Action>
                <Action name=""align_with_swarm"">
                    <Args>
                        <move_vector>...</move_vector>
                    </Args>
                </Action>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <Condition name=""is_target_detected"">
                <Description>Check if the target is within detectable distance.</Description>
            </Condition>
            <Action name=""change_color"">
                <Description>Change agent's color to specified color.</Description>
            </Action>
            <Action name=""align_with_swarm"">
                <Description>Adjust agent's move vector to align with nearby agents.</Description>
            </Action>
        </TreeNodesModel>
    </BTCPP_format>
    ```",Falcon3-10B-Instruct-q4_k_m
"detect target, freeze movement upon reaching it",zero,67.30235242843628,"<|assistant|>
    ```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <TreeNodesModel>
            <NodeModel id=""detect_target"" type=""Condition"" condition=""is_target_detected""/>
            <NodeModel id=""freeze_movement"" type=""Action"" action=""agent_movement_freeze""/>
            <NodeModel id=""continue_movement"" type=""Action"" action=""continue_movement_agent""/>
        </TreeNodesModel>
        <Sequence id=""main"">
            <Sequence id=""detect_and_freeze"">
                <Selector id=""check_target"">
                    <Condition ref=""detect_target""/>
                    <Fallback ref=""continue_movement""/>
                </Selector>
                <Action ref=""freeze_movement""/>
            </Sequence>
            <Selector id=""main_loop"">
                <Condition ref=""is_target_reached""/>
                <Fallback ref=""continue_movement""/>
            </Selector>
        </Sequence>
    </BehaviorTree>
    ```",Falcon3-10B-Instruct-q4_k_m
"detect an obstacle, avoid it, and then changing color to green",one,159.1129128932953,"<root BTCPP_format=""3"" main_tree_to_execute=""ObstacleAvoidance"">  
	<BehaviorTree ID=""ObstacleAvoidance"">    
		<Sequence name=""ObstacleDetectionAndAvoidance"">        
			<is_obstacle_detected/>        
			<avoid_obstacle/>        
			<change_color color=""green""/>    
		</Sequence>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_obstacle_detected""/>    
		<Action ID=""avoid_obstacle""/>    
		<Action ID=""change_color"">
      	<input_port name=""color""/>
    	</Action>
	</TreeNodesModel>
</root>",Falcon3-10B-Instruct-q4_k_m
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",one,75.15965056419373,"<root BTCPP_format=""3"" main_tree_to_execute=""WanderAndDetect"">  
	<BehaviorTree ID=""WanderAndDetect"">    
		<Sequence name=""WanderUntilTargetDetected"">        
			<is_target_detected/>        
			<move_randomly/>      
		</Sequence>      
		<Sequence name=""ApproachAndSignal"">        
			<is_target_detected/>        
			<align_with_swarm/>        
			<change_color color=""red""/>      
		</Sequence>    
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_target_detected""/>    
		<Action ID=""move_randomly""/>    
		<Action ID=""align_with_swarm""/>    
		<Action ID=""change_color"" editable=""true"">
      	<input_port name=""color""/>
    	</Action>
	</TreeNodesModel>
</root>",Falcon3-10B-Instruct-q4_k_m
"check if path is clear, form a line at the center",one,47.68592882156372,"<root BTCPP_format=""3"" main_tree_to_execute=""PathAndLineFormation"">  
	<BehaviorTree ID=""PathAndLineFormation"">    
		<Sequence name=""PathAndLineSequence"">        
			<is_path_clear/>        
			<form_line/>      
		</Sequence>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_path_clear""/>    
		<Action ID=""form_line""/>  
	</TreeNodesModel>
</root>",Falcon3-10B-Instruct-q4_k_m
"find the goal, signal success by changing color to red, and align movement with other swarm agents",one,68.49841547012329,"<root BTCPP_format=""3"" main_tree_to_execute=""SwarmBehavior"">  
	<BehaviorTree ID=""SwarmBehavior"">    
		<Sequence name=""FindGoalAndSignal"">      
			<is_target_detected/>        
			<change_color color=""red""/>      
		</Sequence>      
		<Sequence name=""AlignWithSwarm"">        
			<align_with_swarm/>      
		</Sequence>    
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_target_detected""/>    
		<Action ID=""change_color""/>    
		<Action ID=""align_with_swarm""/>  
		<Action ID=""avoid_obstacle"" editable=""true"">
      	<input_port name=""avoidance_vector""/>
    	</Action>
	</TreeNodesModel>
</root>",Falcon3-10B-Instruct-q4_k_m
"detect target, freeze movement upon reaching it",one,54.10744667053223,"<root BTCPP_format=""3"" main_tree_to_execute=""TargetDetection"">  
	<BehaviorTree ID=""TargetDetection"">    
		<Sequence name=""Target Detection and Freeze"">      
			<is_target_detected/>      
			<is_target_reached/>      
			<agent_movement_freeze/>    
		</Sequence>  
	</BehaviorTree>  
	<TreeNodesModel>    
		<Condition ID=""is_target_detected""/>    
		<Condition ID=""is_target_reached""/>    
		<Action ID=""agent_movement_freeze""/>  
	</TreeNodesModel>
</root>",Falcon3-10B-Instruct-q4_k_m
