Prompt,Prompt Type,Time,Behavior Tree,Model Name
"detect an obstacle, avoid it, and then changing color to green",zero,66.78377223014832,"```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <TreeNodesModel>
            <NodeModel name=""say"" type=""Action""/>
            <NodeModel name=""flocking"" type=""Action""/>
            <NodeModel name=""align_with_swarm"" type=""Action""/>
            <NodeModel name=""is_obstacle_detected"" type=""Condition""/>
            <NodeModel name=""avoid_obstacle"" type=""Action""/>
            <NodeModel name=""change_color"" type=""Action""/>
        </TreeNodesModel>
        <BehaviorTree id=""main"">
            <Sequence>
                <Condition name=""is_obstacle_detected""/>
                <Action name=""avoid_obstacle""/>
                <Action name=""change_color"" args=""green""/>
            </Sequence>
        </BehaviorTree>
    </BehaviorTree>
    ```",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",zero,65.63803577423096,"```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <TreeNodesModel>
            <NodeModel name=""say"" type=""Action""/>
            <NodeModel name=""flocking"" type=""Action""/>
            <NodeModel name=""align_with_swarm"" type=""Action""/>
            <NodeModel name=""is_obstacle_detected"" type=""Condition""/>
            <NodeModel name=""avoid_obstacle"" type=""Action""/>
            <NodeModel name=""is_target_detected"" type=""Condition""/>
            <NodeModel name=""is_target_reached"" type=""Condition""/>
            <NodeModel name=""change_color"" type=""Action""/>
            <NodeModel name=""is_agent_in_nest"" type=""Condition""/>
            <NodeModel name=""agent_movement_freeze"" type=""Action""/>
            <NodeModel name=""continue_movement_agent"" type=""Action""/>
            <NodeModel name=""move_randomly"" type=""Action""/>
            <NodeModel name=""is_path_clear"" type=""Condition""/>
            <NodeModel name=""is_line_formed"" type=""Condition""/>
            <NodeModel name=""form_line"" type=""Action""/>
        </TreeNodesModel>
        <BehaviorTree ID=""main"">
            <Sequence>
                <Action name=""move_randomly""/>
                <Fallback>
                    <Condition name=""is_target_detected""/>
                    <Sequence>
                        <Action name=""say"" message=""Target detected!""/>
                        <Action name=""change_color"" color=""red""/>
                    </Sequence>
                </Fallback>
            </Sequence>
        </BehaviorTree>
    </BehaviorTree>
    ```",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"check if path is clear, form a line at the center",zero,22.81361746788025,"```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <TreeNodesModel>
            <NodeModel name=""is_path_clear"" type=""Condition""/>
            <NodeModel name=""form_line"" type=""Action""/>
        </TreeNodesModel>
        <Sequence name=""main"">
            <Condition name=""is_path_clear""/>
            <Action name=""form_line""/>
        </Sequence>
    </BehaviorTree>
    ```",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",zero,24.179611921310425,"```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <TreeNodesModel>
            <!-- Define all node models here -->
        </TreeNodesModel>
        <BehaviorTree ID=""main"">
            <Sequence>
                <Action ID=""move_towards_goal""/>
                <Action ID=""change_color"" color=""red""/>
                <Action ID=""align_with_swarm""/>
            </Sequence>
        </BehaviorTree>
    </BehaviorTree>
    ```",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"detect target, freeze movement upon reaching it",zero,59.737292766571045,"```xml
    <BehaviorTree BTCPP_format=""1.0"" main_tree_to_execute=""main"">
        <TreeNodesModel>
            <NodeModel name=""say"" type=""Action""/>
            <NodeModel name=""flocking"" type=""Action""/>
            <NodeModel name=""align_with_swarm"" type=""Action""/>
            <NodeModel name=""is_obstacle_detected"" type=""Condition""/>
            <NodeModel name=""avoid_obstacle"" type=""Action""/>
            <NodeModel name=""is_target_detected"" type=""Condition""/>
            <NodeModel name=""is_target_reached"" type=""Condition""/>
            <NodeModel name=""change_color"" type=""Action""/>
            <NodeModel name=""is_agent_in_nest"" type=""Condition""/>
            <NodeModel name=""agent_movement_freeze"" type=""Action""/>
            <NodeModel name=""continue_movement_agent"" type=""Action""/>
            <NodeModel name=""move_randomly"" type=""Action""/>
            <NodeModel name=""is_path_clear"" type=""Condition""/>
            <NodeModel name=""is_line_formed"" type=""Condition""/>
            <NodeModel name=""form_line"" type=""Action""/>
        </TreeNodesModel>
        <BehaviorTree ID=""main"">
            <Sequence>
                <Condition name=""is_target_detected""/>
                <Action name=""agent_movement_freeze""/>
                <Condition name=""is_target_reached""/>
            </Sequence>
        </BehaviorTree>
    </BehaviorTree>
    ```",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"detect an obstacle, avoid it, and then changing color to green",one,93.41795110702515,"<root BTCPP_format=""3"" main_tree_to_execute=""ObstacleAvoidance"">
        <BehaviorTree ID=""ObstacleAvoidance"">
            <Sequence name=""Obstacle Detection and Avoidance Sequence"">
                <is_obstacle_detected/>
                <avoid_obstacle/>
                <change_color color=""green""/>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <Condition ID=""is_obstacle_detected""/>
            <Action ID=""avoid_obstacle""/>
            <Action ID=""change_color"" editable=""true"">
                <input_port name=""color""/>
            </Action>
        </TreeNodesModel>
    </root>",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",one,63.463600397109985,"<root BTCPP_format=""3"" main_tree_to_execute=""WanderAndApproach"">
        <BehaviorTree ID=""WanderAndApproach"">
            <Fallback name=""Main Decision Tree"">
                <Sequence name=""Random Movement Sequence"">
                    <move_randomly/>
                    <is_target_detected/>
                </Sequence>
                <Sequence name=""Approach Target Sequence"">
                    <agent_movement_freeze/>
                    <change_color color=""red""/>
                </Sequence>
            </Fallback>
        </BehaviorTree>
        <TreeNodesModel>
            <Action ID=""say"" editable=""true"">
                <input_port name=""message""/>
            </Action>
            <Action ID=""flocking""/>
            <Action ID=""align_with_swarm""/>
            <Condition ID=""is_obstacle_detected""/>
            <Action ID=""avoid_obstacle""/>
            <Condition ID=""is_target_detected""/>
            <Condition ID=""is_target_reached""/>
            <Action ID=""change_color"" editable=""true"">
                <input_port name=""color""/>
            </Action>
            <Condition ID=""is_agent_in_nest""/>
            <Action ID=""agent_movement_freeze""/>
            <Action ID=""continue_movement_agent""/>
            <Action ID=""move_randomly""/>
            <Condition ID=""is_path_clear""/>
            <Condition ID=""is_line_formed""/>
            <Action ID=""form_line""/>
        </TreeNodesModel>
    </root>",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"check if path is clear, form a line at the center",one,24.049319982528687,"<root BTCPP_format=""3"" main_tree_to_execute=""PathCheckAndLineForm"">
        <BehaviorTree ID=""PathCheckAndLineForm"">
            <Sequence name=""Main Sequence"">
                <is_path_clear/>
                <form_line/>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <Condition ID=""is_path_clear""/>
            <Action ID=""form_line""/>
        </TreeNodesModel>
    </root>",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",one,33.04824614524841,"<root BTCPP_format=""3"" main_tree_to_execute=""GoalFinding"">
        <BehaviorTree ID=""GoalFinding"">
            <Sequence name=""Find Goal and Signal Success"">
                <is_target_detected/>
                <say message=""Target Detected""/>
                <change_color color=""red""/>
                <align_with_swarm/>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <Condition ID=""is_target_detected""/>
            <Action ID=""say"" editable=""true"">
                <input_port name=""message""/>
            </Action>
            <Action ID=""change_color""/>
            <Action ID=""align_with_swarm""/>
        </TreeNodesModel>
    </root>",Qwen2.5-Coder-7B-Instruct-Q4_K_M
"detect target, freeze movement upon reaching it",one,31.997605800628662,"<root BTCPP_format=""3"" main_tree_to_execute=""TargetDetection"">
        <BehaviorTree ID=""TargetDetection"">
            <Sequence name=""Main Sequence"">
                <is_target_detected/>
                <agent_movement_freeze/>
                <is_target_reached/>
                <continue_movement_agent/>
            </Sequence>
        </BehaviorTree>
        <TreeNodesModel>
            <Condition ID=""is_target_detected""/>
            <Action ID=""agent_movement_freeze""/>
            <Condition ID=""is_target_reached""/>
            <Action ID=""continue_movement_agent""/>
        </TreeNodesModel>
    </root>",Qwen2.5-Coder-7B-Instruct-Q4_K_M
