Prompt,Prompt Type,Time,Behavior Tree,Model Name
"detect an obstacle, avoid it, and then changing color to green",zero,109.85764789581299,,phi-4-Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",zero,14.494866609573364,,phi-4-Q4_K_M
"check if path is clear, form a line at the center",zero,13.742818355560303,,phi-4-Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",zero,14.280724287033081,,phi-4-Q4_K_M
"detect target, freeze movement upon reaching it",zero,13.03719687461853,,phi-4-Q4_K_M
"detect an obstacle, avoid it, and then changing color to green",one,139.10013055801392,,phi-4-Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",one,15.044126033782959,,phi-4-Q4_K_M
"check if path is clear, form a line at the center",one,13.962361097335815,,phi-4-Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",one,14.789194107055664,,phi-4-Q4_K_M
"detect target, freeze movement upon reaching it",one,13.5500328540802,,phi-4-Q4_K_M
"detect an obstacle, avoid it, and then changing color to green",two,147.95802545547485,,phi-4-Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",two,15.29321551322937,,phi-4-Q4_K_M
"check if path is clear, form a line at the center",two,14.459160089492798,,phi-4-Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",two,15.123885154724121,,phi-4-Q4_K_M
"detect target, freeze movement upon reaching it",two,13.944465637207031,,phi-4-Q4_K_M
