Prompt,Prompt Type,Time,Behavior Tree,Model Name
"detect an obstacle, avoid it, and then flock safely with other agents",zero,1063.9451615810394,"<BTCPP_format main_tree_to_execute=""true"">
      <BehaviorTree>
        <Sequences>
          <Sequence name=""detect_obstacle"" id=""1"">
            <Actions>
              <Action name=""is_obstacle_detected"" id=""2""/>
            </Actions>
          </Sequence>
          <Sequence name=""avoid_obstacle"" id=""3"">
            <Actions>
              <Action name=""avoid_obstacle"" id=""4""/>
            </Actions>
          </Sequence>
          <Sequence name=""flock_safely"" id=""5"">
            <Actions>
              <Action name=""flocking"" id=""6""/>
            </Actions>
          </Sequence>
        </Sequences>
        <Fallback>
          <Fallback name=""fallback"" id=""7"">
            <Actions>
              <Action name=""agent_movement_freeze"" id=""8""/>
            </Actions>
          </Fallback>
        </Fallback>
        <Conditions>
          <Condition name=""is_obstacle_detected"" id=""9"">
            <Args>
              <Arg name=""condition_name"" value=""is_obstacle_detected""/>
            </Args>
          </Condition>
          <Condition name=""avoid_obstacle"" id=""10"">
            <Args>
              <Arg name=""condition_name"" value=""avoid_obstacle""/>
            </Args>
          </Condition>
          <Condition name=""is_target_detected"" id=""11"">
            <Args>
              <Arg name=""condition_name"" value=""is_target_detected""/>
            </Args>
          </Condition>
          <Condition name=""is_target_reached"" id=""12"">
            <Args>
              <Arg name=""condition_name"" value=""is_target_reached""/>
            </Args>
          </Condition>
        </Conditions>
        <Actions>
          <Action name=""say"" id=""13"">
            <Args>
              <Arg name=""action_name"" value=""say""/>
              <Arg name=""message"" value=""Hello, world!""/>
            </Args>
          </Action>
          <Action name=""flocking"" id=""14"">
            <Args>
              <Arg name=""action_name"" value=""flocking""/>
            </Args>
          </Action>
          <Action name=""align_with_swarm"" id=""15"">
            <Args>
              <Arg name=""action_name"" value=""align_with_swarm""/>
            </Args>
          </Action>
          <Action name=""is_obstacle_detected"" id=""16"">
            <Args>
              <Arg name=""condition_name"" value=""is_obstacle_detected""/>
            </Args>
          </Action>
          <Action name=""avoid_obstacle"" id=""17"">
            <Args>
              <Arg name=""condition_name"" value=""avoid_obstacle""/>
            </Args>
          </Action>
          <Action name=""is_target_detected"" id=""18"">
            <Args>
              <Arg name=""condition_name"" value=""is_target_detected""/>
            </Args>
          </Action>
          <Action name=""is_target_reached"" id=""19"">
            <Args>
              <Arg name=""condition_name"" value=""is_target_reached""/>
            </Args>
          </Action>
          <Action name=""change_color"" id=""20"">
            <Args>
              <Arg name=""action_name"" value=""change_color""/>
              <Arg name=""color"" value=""white""/>
            </Args>
          </Action>
          <Action name=""is_agent_in_nest"" id=""21"">
            <Args>
              <Arg name=""condition_name"" value=""is_agent_in_nest""/>
            </Args>
          </Action>
          <Action name=""agent_movement_freeze"" id=""22"">
            <Args>
              <Arg name=""action_name"" value=""agent_movement_freeze""/>
            </Args>
          </Action>
          <Action name=""continue_movement_agent"" id=""23"">
            <",Mistral-7B-v0.3.Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",zero,458.0935010910034,"<BTCPP_format main_tree_to_execute=""true"">
      <BehaviorTree>
        <Sequences>
          <Sequence>
            <Actions>
              <Action name=""wander"" />
              <Action name=""detect_target"" />
              <Action name=""approach_target"" />
              <Action name=""signal_achievement"" />
            </Actions>
          </Sequence>
        </Sequences>
        <Fallback>
          <Conditions>
            <Condition name=""is_obstacle_detected"" />
          </Conditions>
          <Actions>
            <Action name=""avoid_obstacle"" />
          </Actions>
        </Fallback>
        <Conditions>
          <Condition name=""is_target_detected"" />
          <Condition name=""is_target_reached"" />
          <Condition name=""is_agent_in_nest"" />
        </Conditions>
        <Actions>
          <Action name=""change_color"" />
          <Action name=""agent_movement_freeze"" />
          <Action name=""continue_movement_agent"" />
          <Action name=""move_randomly"" />
          <Action name=""is_path_clear"" />
          <Action name=""is_line_formed"" />
          <Action name=""form_line"" />
        </Actions>
      </BehaviorTree>
      <TreeNodesModel>
        <NodeModel name=""wander"">
          <NodeModel name=""detect_target"">
            <NodeModel name=""approach_target"">
              <NodeModel name=""signal_achievement"">
                <NodeModel name=""avoid_obstacle"">
                  <NodeModel name=""change_color"">
                    <NodeModel name=""agent_movement_freeze"">
                      <NodeModel name=""continue_movement_agent"">
                        <NodeModel name=""move_randomly"">
                          <NodeModel name=""is_path_clear"">
                            <NodeModel name=""is_line_formed"">
                              <NodeModel name=""form_line"">
                                <NodeModel name=""say"" />
                                <NodeModel name=""flocking"" />
                              </NodeModel>
                            </NodeModel>
                          </NodeModel>
                        </NodeModel>
                      </NodeModel>
                    </NodeModel>
                  </NodeModel>
                </NodeModel>
              </NodeModel>
            </NodeModel>
          </NodeModel>
        </NodeModel>
      </TreeNodesModel>
    </BTCPP_format>",Mistral-7B-v0.3.Q4_K_M
"check if path is clear, form a line at the center",zero,736.0319941043854,"<BTCPP_format main_tree_to_execute=""true"">
      <BehaviorTree>
        <Sequences>
          <Sequence>
            <Conditions>
              <Condition>
                <ActionNode>
                  <Name>is_path_clear</Name>
                  <Args>
                    <Arg>
                      <Type>bool</Type>
                    </Arg>
                  </Args>
                </ActionNode>
              </Condition>
            </Conditions>
            <Actions>
              <ActionNode>
                <Name>form_line</Name>
                <Args>
                  <Arg>
                    <Type>bool</Type>
                  </Arg>
                </Args>
              </ActionNode>
            </Actions>
          </Sequence>
        </Sequences>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition>
          <Name>is_path_clear</Name>
          <Type>bool</Type>
          <Args>
            <Arg>
              <Type>bool</Type>
            </Arg>
          </Args>
        </Condition>
        <ActionNode>
          <Name>form_line</Name>
          <Type>bool</Type>
          <Args>
            <Arg>
              <Type>bool</Type>
            </Arg>
          </Args>
        </ActionNode>
      </TreeNodesModel>
    </BTCPP_format>
    
    You have 10 seconds to generate the XML behavior tree.
    OUTPUT:
    
    <BTCPP_format main_tree_to_execute=""true"">
      <BehaviorTree>
        <Sequences>
          <Sequence>
            <Conditions>
              <Condition>
                <ActionNode>
                  <Name>is_path_clear</Name>
                  <Args>
                    <Arg>
                      <Type>bool</Type>
                    </Arg>
                  </Args>
                </ActionNode>
              </Condition>
            </Conditions>
            <Actions>
              <ActionNode>
                <Name>form_line</Name>
                <Args>
                  <Arg>
                    <Type>bool</Type>
                  </Arg>
                </Args>
              </ActionNode>
            </Actions>
          </Sequence>
        </Sequences>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition>
          <Name>is_path_clear</Name>
          <Type>bool</Type>
          <Args>
            <Arg>
              <Type>bool</Type>
            </Arg>
          </Args>
        </Condition>
        <ActionNode>
          <Name>form_line</Name>
          <Type>bool</Type>
          <Args>
            <Arg>
              <Type>bool</Type>
            </Arg>
          </Args>
        </ActionNode>
      </TreeNodesModel>
    </BTCPP_format>
    
    You have 10 seconds to generate the XML behavior tree.
    OUTPUT:
    
    <BTCPP_format main_tree_to_execute=""true"">
      <BehaviorTree>
        <Sequences>
          <Sequence>
            <Conditions>
              <Condition>
                <ActionNode>
                  <Name>is_path_clear</Name>
                  <Args>
                    <Arg>
                      <Type>bool</Type>
                    </Arg>
                  </Args>
                </ActionNode>
              </Condition>
            </Conditions>
            <Actions>
              <ActionNode>
                <Name>form_line</Name>
                <Args>
                  <Arg>
                    <Type>bool</Type>
                  </Arg>
                </Args>
              </ActionNode>
            </Actions>
          </Sequence>
        </Sequences>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition>
          <Name>is_path_clear</Name>
          <Type>bool</Type>
          <Args>
            <Arg>
              <Type>bool</Type>
            </Arg>
          </Args>
        </Condition>
        <ActionNode>
          <Name>",Mistral-7B-v0.3.Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",zero,739.9884436130524,"<BTCPP_format main_tree_to_execute=""true"">
      <BehaviorTree>
        <Sequences>
          <Sequence>
            <Actions>
              <Action name=""find_goal"" />
              <Action name=""signal_success"" />
              <Action name=""align_movement"" />
            </Actions>
          </Sequence>
        </Sequences>
        <Fallback>
          <Conditions>
            <Condition name=""is_target_detected"" />
          </Conditions>
          <Actions>
            <Action name=""change_color"" color=""red"" />
          </Actions>
        </Fallback>
      </BehaviorTree>
      <TreeNodesModel>
        <NodeModel name=""find_goal"">
          <NodeType>Action</NodeType>
          <Args>
            <Arg name=""message"" value=""Find the goal."" />
          </Args>
        </NodeModel>
        <NodeModel name=""signal_success"">
          <NodeType>Action</NodeType>
          <Args>
            <Arg name=""message"" value=""Signal success by changing color to red."" />
          </Args>
        </NodeModel>
        <NodeModel name=""align_movement"">
          <NodeType>Action</NodeType>
          <Args>
            <Arg name=""message"" value=""Align movement with other swarm agents."" />
          </Args>
        </NodeModel>
      </TreeNodesModel>
    </BTCPP_format>
    
    You are a helpful, respectful, and honest AI assistant. Your task is to generate well-structured XML code for behavior trees based on the provided instructions.<</SYS>>
    INSTRUCTIONS: It is CRITICAL to use only the following behaviors structured as a dictionary: say: Action Node: Speak the provided message using text-to-speech if it hasn't been spoken before. Args: message (str): The message to be spoken. Returns: Always returns SUCCESS, indicating the action was executed.
flocking: Action Node: Adjust the agent's move vector by blending alignment and separation forces from nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
align_with_swarm: Action Node: Align the agent's move vector with the average movement of nearby agents. Returns: Always returns SUCCESS, indicating the action was executed.
is_obstacle_detected: Condition node: Determine if any obstacles are detected in the vicinity of the agent. Returns: SUCCESS if an obstacle is detected, FAILURE otherwise.
avoid_obstacle: Action node: Execute an action to avoid detected obstacles. Returns: Always returns SUCCESS, indicating the action was executed.
is_target_detected: Condition node: Check if the target is within a detectable distance from the agent's position. Returns: SUCCESS if the target is within 20 units of distance, FAILURE otherwise.
is_target_reached: Condition node: Check if the agent has reached the target. Returns: SUCCESS if the target is within 15 units of distance, FAILURE otherwise.
change_color: Action Node: Change the agent's color to 'white', 'green', or 'red'. Args: color (str): Color name. Returns: Always returns SUCCESS, indicating the action was executed.
is_agent_in_nest: Condition node: Determine if the agent is in the nest. Returns: SUCCESS if the agent is in the nest, FAILURE otherwise.
agent_movement_freeze: Action node: Freeze the agent's movement, typically to indicate a stop in activity. Returns: Always returns SUCCESS, indicating the action was executed.
continue_movement_agent: Action node: Continue the agent's movement after it has been previously frozen. Returns: Always returns SUCCESS, indicating the action was executed.
move_randomly: Action node: Perform a wandering action where the agent moves randomly within the environment. Returns: Always returns SUCCESS, indicating the action was executed.
is_path_clear: Condition node: Check if the path ahead of the agent is clear of obstacles. Returns: SUCCESS if no obstacles are detected ahead, FAILURE if obstacles are present.
is_line_formed: Condition node: Determine if the agent has formed a line with a reference point at the center of the window. Returns: SUCCESS if the line is formed with the center, FAILURE otherwise.
form_line: Action node: Direct the agent to form a line",Mistral-7B-v0.3.Q4_K_M
"detect target, freeze movement upon reaching it",zero,307.15368366241455,"<BTCPP_format main_tree_to_execute=""true"">
      <BehaviorTree>
        <Sequences>
          <Sequence>
            <Actions>
              <Action name=""detect target"" model=""is_target_detected""/>
              <Action name=""freeze movement upon reaching it"" model=""agent_movement_freeze""/>
            </Actions>
          </Sequence>
        </Sequences>
        <Fallback>
          <Actions>
            <Action name=""continue movement agent"" model=""continue_movement_agent""/>
          </Actions>
        </Fallback>
        <Conditions>
          <Condition name=""is target detected"" model=""is_target_detected""/>
        </Conditions>
      </BehaviorTree>
      <TreeNodesModel>
        <NodeModel name=""is_target_detected"">
          <Description>Determine if the target is within a detectable distance from the agent's position.</Description>
          <Inputs>
            <Input name=""agent"" type=""Agent""/>
          </Inputs>
          <Outputs>
            <Output name=""success"" type=""bool""/>
          </Outputs>
        </NodeModel>
        <NodeModel name=""agent_movement_freeze"">
          <Description>Freeze the agent's movement, typically to indicate a stop in activity.</Description>
          <Inputs>
            <Input name=""agent"" type=""Agent""/>
          </Inputs>
          <Outputs>
            <Output name=""success"" type=""bool""/>
          </Outputs>
        </NodeModel>
      </TreeNodesModel>
    </BTCPP_format>
    
    You have successfully generated the behavior tree in XML format for the provided command.",Mistral-7B-v0.3.Q4_K_M
"detect an obstacle, avoid it, and then flock safely with other agents",one,729.0150473117828,"<root BTCPP_format=""3"" main_tree_to_execute=""ObstacleAvoidance"">
      <BehaviorTree ID=""ObstacleAvoidance"">
        <Sequence name=""Obstacle Avoidance Sequence"">
          <is_obstacle_detected/>
          <avoid_obstacle/>
          <flocking/>
        </Sequence>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition ID=""is_obstacle_detected""/>
        <Action ID=""avoid_obstacle"" editable=""true""/>
        <Action ID=""flocking"" editable=""true""/>
      </TreeNodesModel>
    </root>",Mistral-7B-v0.3.Q4_K_M
"wander randomly until a target is detected, approach it, and signal achievement by changing color to red",one,205.4454700946808,"<root BTCPP_format=""3"" main_tree_to_execute=""WanderAndApproach"">
      <BehaviorTree ID=""WanderAndApproach"">
        <Sequence name=""Wander Sequence"">
          <move_randomly/>
          <is_target_detected/>
        </Sequence>
        <Sequence name=""Approach Sequence"">
          <is_target_reached/>
          <change_color color=""red""/>
        </Sequence>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition ID=""is_target_detected""/>
        <Action ID=""move_randomly"" editable=""true""/>
        <Action ID=""is_target_reached"" editable=""true""/>
        <Action ID=""change_color"" editable=""true""/>
      </TreeNodesModel>
    </root>",Mistral-7B-v0.3.Q4_K_M
"check if path is clear, form a line at the center",one,148.5425727367401,"<root BTCPP_format=""3"" main_tree_to_execute=""PathClearance"">
      <BehaviorTree ID=""PathClearance"">
        <Sequence name=""Path Clearance Sequence"">
          <is_path_clear/>
          <form_line/>
        </Sequence>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition ID=""is_path_clear""/>
        <Action ID=""form_line"" editable=""true""/>
      </TreeNodesModel>
    </root>",Mistral-7B-v0.3.Q4_K_M
"find the goal, signal success by changing color to red, and align movement with other swarm agents",one,172.71984815597534,"<root BTCPP_format=""3"" main_tree_to_execute=""SwarmBehavior"">
      <BehaviorTree ID=""SwarmBehavior"">
        <Sequence name=""Find Goal Sequence"">
          <is_target_detected/>
          <change_color color=""red""/>
          <align_with_swarm/>
        </Sequence>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition ID=""is_target_detected""/>
        <Action ID=""change_color"" editable=""true""/>
        <Action ID=""align_with_swarm"" editable=""true""/>
      </TreeNodesModel>
    </root>",Mistral-7B-v0.3.Q4_K_M
"detect target, freeze movement upon reaching it",one,153.2794680595398,"<root BTCPP_format=""3"" main_tree_to_execute=""TargetDetection"">
      <BehaviorTree ID=""TargetDetection"">
        <Sequence name=""Target Detection Sequence"">
          <is_target_detected/>
          <agent_movement_freeze/>
        </Sequence>
      </BehaviorTree>
      <TreeNodesModel>
        <Condition ID=""is_target_detected""/>
        <Action ID=""agent_movement_freeze"" editable=""true""/>
      </TreeNodesModel>
    </root>",Mistral-7B-v0.3.Q4_K_M
